ID,Institute ,Name,Link,Skill,Issued Date 
1,AWS,AWS Certified Data Analytics – Specialty,https://www.credly.com/badges/bba0bb9b-02cb-4468-a943-6c5d92d5a0e1/linked_in_profile,,
2,AWS,AWS Certified Solutions Architect – Associate,https://www.credly.com/badges/d093c0d5-5324-43a7-b03d-549cf7538355/linked_in_profile,,
3,Coursera,Distributed Computing with Spark SQL,https://www.coursera.org/account/accomplishments/certificate/GUF28MK25HUT,,
4,Coursera,Big Data Modeling and Management Systems,https://www.coursera.org/account/accomplishments/verify/38D5MP3B7XH2,,
5,Coursera,Google Cloud Fundamentals: Core Infrastructure,https://www.coursera.org/account/accomplishments/verify/7WAGDFHSJ23W,,
6,Coursera,Visual Analytics with Tableau,https://www.coursera.org/account/accomplishments/verify/FU6KJBA5NGDG,,
7,Coursera,Essential Design Principles for Tableau,https://www.coursera.org/account/accomplishments/verify/2J9WC7ZDBLN7,,
8,Coursera,SQL for Data Science,https://www.coursera.org/account/accomplishments/certificate/WUWUCMVUDN7G,,
9,Coursera,Postman - Intro to APIs (without coding),https://www.coursera.org/account/accomplishments/verify/MR675VU6X2QS,,
10,Coursera,Programming for Everybody (Getting Started with Python),https://www.coursera.org/account/accomplishments/verify/7MW47JM4EK46,Python,2020-Jan
11,Coursera,AI For Everyone,https://www.coursera.org/account/accomplishments/certificate/LELMHL2CGXLX,,
12,Coursera,Introduction to Big Data,https://www.coursera.org/account/accomplishments/verify/VD5Z8PB6DCQT,,
13,Coursera,Fundamentals of Visualization with Tableau,https://www.coursera.org/account/accomplishments/verify/9JJB6F2LJ9LB,,
14,GraphAcademy,Neo4j Fundamentals,https://graphacademy.neo4j.com/c/a81c45c8-7ead-4cf1-9d92-8617a7ad4b2a/,,
15,linkedin learning,Learning Terraform,https://www.linkedin.com/learning/certificates/08be016209994ec48029bfd17a16e7111343a881f5dc28569dc42984f3dd66de?u=2212217,,
16,linkedin learning,ETL in Python and SQL,https://www.linkedin.com/learning/certificates/50c84dc430465660a41a30b964794323d9f6700ef6d62c537b9bd95843b265e1?u=2212217,,
17,linkedin learning,Learning Apache Airflow,https://www.linkedin.com/learning/certificates/582815dc2d334615ad22ac55eb108d8340cd61e349b22b22a3b00fe17d47fce5?u=2212217,,
18,linkedin learning,Docker: Your First Project,https://www.linkedin.com/learning/certificates/6aa7392a115d8dba21d872cd4fdf8270353d56867eec56ee06db662878ac6bd8?u=2212217,,
